ID Véhicule;Tension Batterie;Debut période;Fin Période;Nombre Trajets;Distance;Temps Total;Temps Attente;Temps Conduite;Jours Roulage;Vitesse Moyenne;Km initial; Km final;;;
029608;12.70;22/01/2018;31/01/2018;40;1637,620816;25:9;02:37;22:32;9;73.32;1432;3070;;;
029608;12.96;01/02/2018;28/02/2018;69;2577,727661;39:47;04:26;35:21;16;70.81;3070;5647;;;
029608;12.80;01/03/2018;30/03/2018;118;5142,256136;78:12;08:26;69:45;24;73.28;5647;10790;;;
029608;12.85;03/04/2018;27/04/2018;41;2278,983592;33:34;03:41;29:52;13;72.87;10790;13069;;;
037888;12.75;22/01/2018;31/01/2018;34;2021,134392;28:0;02:15;25:44;7;78.49;134202;136223;;;
037888;12.92;01/02/2018;27/02/2018;48;1819,44311;29:19;04:8;25:11;15;72.52;136223;138043;;;
037888;13.07;01/03/2018;23/03/2018;57;2470,498639;38:5;04:27;33:38;17;69.27;138043;140513;;;
037888;12.90;04/04/2018;27/04/2018;43;2186,584804;32:48;04:12;28:35;14;67.22;140513;142700;;;
068078;12.60;24/04/2018;27/04/2018;15;442,325024;06:26;00:30;05:56;3;74.45;26420;26862;;;
073426;13.05;22/01/2018;31/01/2018;25;1145,062572;17:24;01:56;15:27;8;76.78;116270;117415;;;
073426;13.08;01/02/2018;28/02/2018;42;1037,796028;19:11;02:51;16:20;16;60.14;117415;118453;;;
073426;13.20;01/03/2018;30/03/2018;78;3789,757084;56:39;06:16;50:23;21;73.46;118453;122243;;;
073426;13.08;03/04/2018;27/04/2018;64;3596,95088;51:8;05:34;45:34;16;76.25;122243;125840;;;
173061;12.80;22/01/2018;31/01/2018;22;601,670342;11:16;01:57;09:19;8;66.27;861;1463;;;
173061;12.82;01/02/2018;28/02/2018;48;1688,011496;27:12;03:57;23:14;14;65.97;1463;3151;;;
173061;12.88;01/03/2018;26/03/2018;72;3906,169405;55:42;06:32;49:9;19;79.78;3151;7057;;;
173061;12.88;03/04/2018;27/04/2018;61;2633,932375;40:18;05:44;34:33;21;75.57;7057;9691;;;
178157;12.33;07/03/2018;30/03/2018;57;855,685405;17:41;02:54;14:47;14;50.68;75880;76736;;;
178157;12.35;03/04/2018;27/04/2018;51;1472,167023;27:17;04:13;23:3;15;65.12;76736;78208;;;
184854;13.05;22/01/2018;31/01/2018;35;1565,765234;24:4;03:8;20:56;8;74.87;56477;58043;;;
184854;13.12;01/02/2018;28/02/2018;53;2328,6852;33:13;03:39;29:34;18;78.85;58043;60371;;;
184854;12.98;01/03/2018;27/03/2018;69;3711,259186;50:7;05:7;44:59;20;80.10;60371;64083;;;
184854;13.07;03/04/2018;26/04/2018;45;2334,707809;34:51;04:4;30:47;14;77.99;64083;66417;;;
193971;13.15;22/01/2018;31/01/2018;27;1499,620235;20:57;02:7;18:50;7;78.35;4746;6246;;;
193971;13.06;01/02/2018;28/02/2018;47;1161,312772;20:48;03:40;17:8;17;59.74;6246;7407;;;
193971;13.12;01/03/2018;30/03/2018;122;4879,161;76:6;08:30;67:36;23;70.93;7407;12286;;;
193971;12.70;03/04/2018;27/04/2018;53;3431,13219;46:56;04:55;42:0;18;82.07;12286;15717;;;
202866;12.95;06/03/2018;30/03/2018;66;3791,173374;54:26;05:29;48:56;18;77.52;136500;140291;;;
202866;12.93;03/04/2018;27/04/2018;29;2032,552323;25:43;02:10;23:33;9;84.99;140291;142324;;;
299532;12.80;06/03/2018;30/03/2018;63;2139,138014;39:39;04:32;35:7;22;60.14;96251;98390;;;
299532;12.88;03/04/2018;29/04/2018;75;1377,641813;28:34;04:5;24:28;19;57.38;98390;99768;;;
305046;13.10;23/01/2018;31/01/2018;12;467,673576;07:20;00:57;06:22;4;74.65;115039;115507;;;
305046;12.85;05/02/2018;28/02/2018;20;471,278803;10:48;01:48;08:59;10;52.08;115507;115978;;;
305046;12.80;01/03/2018;30/03/2018;29;559,797765;12:31;02:0;10:31;16;51.51;115978;116538;;;
305046;12.97;03/04/2018;25/04/2018;32;884,816946;16:56;02:42;14:14;13;59.17;116538;117423;;;
450197;12.50;29/01/2018;31/01/2018;8;195,429246;05:37;01:33;04:4;3;48.03;107058;107253;;;
450197;12.63;02/02/2018;28/02/2018;26;332,27637;11:22;03:9;08:12;6;41.47;107253;107586;;;
450197;12.60;07/03/2018;30/03/2018;45;1391,464721;25:19;02:43;22:36;14;63.42;107586;108977;;;
450197;12.80;04/04/2018;06/04/2018;11;185,625469;03:55;00:37;03:17;3;56.29;108977;109163;;;
457071;12.90;22/01/2018;29/01/2018;31;1693,730629;23:40;02:28;21:11;6;84.81;131337;133031;;;
457071;12.98;01/02/2018;28/02/2018;63;2578,343966;40:21;04:37;35:43;18;72.80;133031;135609;;;
457071;13.12;01/03/2018;30/03/2018;76;3750,733035;59:36;07:29;52:7;20;66.31;135609;139360;;;
457071;13.05;03/04/2018;29/04/2018;80;2835,449896;47:42;06:52;40:49;19;69.82;139360;142195;;;
461589;13.23;12/03/2018;29/03/2018;48;1347,532181;22:18;02:46;19:31;13;67.17;98918;100266;;;
461589;13.03;04/04/2018;27/04/2018;32;2152,392967;29:58;02:43;27:15;13;80.50;100266;102418;;;
476370;12.95;23/01/2018;31/01/2018;21;1117,106716;15:29;01:11;14:17;7;77.56;4850;5967;;;
